RSLT0044 (Chromatogram RI)	
X:	Y:
0.00000	-0.011
0.00167	0.001
0.00333	0.000
0.00500	-0.010
0.00667	-0.008
0.00833	0.003
0.01000	-0.001
0.01167	-0.018
0.01333	-0.024
0.01500	-0.018
0.01667	-0.022
0.01833	-0.041
0.02000	-0.044
0.02167	-0.035
0.02333	-0.035
0.02500	-0.053
0.02667	-0.054
0.02833	-0.044
0.03000	-0.043
0.03167	-0.054
0.03333	-0.053
0.03500	-0.040
0.03667	-0.035
0.03833	-0.043
0.04000	-0.043
0.04167	-0.029
0.04333	-0.029
0.04500	-0.043
0.04667	-0.048
0.04833	-0.035
0.05000	-0.030
0.05167	-0.041
0.05333	-0.047
0.05500	-0.036
0.05667	-0.033
0.05833	-0.044
0.06000	-0.048
0.06167	-0.037
0.06333	-0.034
0.06500	-0.048
0.06667	-0.055
0.06833	-0.044
0.07000	-0.041
0.07167	-0.053
0.07333	-0.057
0.07500	-0.040
0.07667	-0.033
0.07833	-0.043
0.08000	-0.048
0.08167	-0.033
0.08333	-0.028
0.08500	-0.039
0.08667	-0.049
0.08833	-0.038
0.09000	-0.032
0.09167	-0.039
0.09333	-0.047
0.09500	-0.032
0.09667	-0.025
0.09833	-0.031
0.10000	-0.044
0.10167	-0.031
0.10333	-0.026
0.10500	-0.035
0.10667	-0.042
0.10833	-0.029
0.11000	-0.023
0.11167	-0.032
0.11333	-0.042
0.11500	-0.028
0.11667	-0.021
0.11833	-0.027
0.12000	-0.039
0.12167	-0.027
0.12333	-0.020
0.12500	-0.027
0.12667	-0.038
0.12833	-0.024
0.13000	-0.017
0.13167	-0.022
0.13333	-0.035
0.13500	-0.027
0.13667	-0.021
0.13833	-0.030
0.14000	-0.043
0.14167	-0.033
0.14333	-0.021
0.14500	-0.024
0.14667	-0.036
0.14833	-0.027
0.15000	-0.019
0.15167	-0.023
0.15333	-0.033
0.15500	-0.026
0.15667	-0.018
0.15833	-0.022
0.16000	-0.038
0.16167	-0.028
0.16333	-0.021
0.16500	-0.026
0.16667	-0.039
0.16833	-0.030
0.17000	-0.020
0.17167	-0.022
0.17333	-0.038
0.17500	-0.032
0.17667	-0.022
0.17833	-0.022
0.18000	-0.034
0.18167	-0.026
0.18333	-0.016
0.18500	-0.018
0.18667	-0.031
0.18833	-0.025
0.19000	-0.015
0.19167	-0.013
0.19333	-0.026
0.19500	-0.019
0.19667	-0.012
0.19833	-0.013
0.20000	-0.025
0.20167	-0.020
0.20333	-0.010
0.20500	-0.011
0.20667	-0.027
0.20833	-0.021
0.21000	-0.007
0.21167	-0.007
0.21333	-0.020
0.21500	-0.014
0.21667	-0.001
0.21833	0.000
0.22000	-0.011
0.22167	-0.010
0.22333	0.004
0.22500	0.004
0.22667	-0.008
0.22833	-0.007
0.23000	0.004
0.23167	0.004
0.23333	-0.009
0.23500	-0.007
0.23667	0.002
0.23833	0.000
0.24000	-0.012
0.24167	-0.016
0.24333	-0.002
0.24500	-0.001
0.24667	-0.016
0.24833	-0.017
0.25000	-0.001
0.25167	0.001
0.25333	-0.011
0.25500	-0.012
0.25667	0.004
0.25833	0.002
0.26000	-0.009
0.26167	-0.018
0.26333	-0.005
0.26500	-0.004
0.26667	-0.015
0.26833	-0.021
0.27000	-0.008
0.27167	-0.007
0.27333	-0.019
0.27500	-0.024
0.27667	-0.008
0.27833	0.001
0.28000	-0.009
0.28167	-0.017
0.28333	-0.004
0.28500	0.000
0.28667	-0.010
0.28833	-0.015
0.29000	0.001
0.29167	0.001
0.29333	-0.011
0.29500	-0.019
0.29667	-0.001
0.29833	0.004
0.30000	-0.007
0.30167	-0.018
0.30333	-0.006
0.30500	-0.004
0.30667	-0.015
0.30833	-0.027
0.31000	-0.011
0.31167	-0.004
0.31333	-0.010
0.31500	-0.017
0.31667	-0.002
0.31833	0.003
0.32000	-0.004
0.32167	-0.016
0.32333	-0.002
0.32500	0.002
0.32667	-0.004
0.32833	-0.015
0.33000	-0.002
0.33167	0.000
0.33333	-0.009
0.33500	-0.022
0.33667	-0.010
0.33833	-0.007
0.34000	-0.010
0.34167	-0.018
0.34333	-0.005
0.34500	-0.001
0.34667	-0.009
0.34833	-0.022
0.35000	-0.013
0.35167	-0.007
0.35333	-0.015
0.35500	-0.026
0.35667	-0.011
0.35833	-0.004
0.36000	-0.010
0.36167	-0.024
0.36333	-0.011
0.36500	-0.001
0.36667	-0.006
0.36833	-0.022
0.37000	-0.013
0.37167	-0.002
0.37333	-0.003
0.37500	-0.016
0.37667	-0.009
0.37833	0.001
0.38000	-0.004
0.38167	-0.020
0.38333	-0.009
0.38500	0.002
0.38667	0.001
0.38833	-0.014
0.39000	-0.006
0.39167	0.004
0.39333	0.001
0.39500	-0.012
0.39667	-0.004
0.39833	0.008
0.40000	0.005
0.40167	-0.008
0.40333	-0.011
0.40500	0.001
0.40667	-0.001
0.40833	-0.017
0.41000	-0.013
0.41167	0.001
0.41333	0.003
0.41500	-0.009
0.41667	-0.009
0.41833	0.003
0.42000	0.002
0.42167	-0.007
0.42333	-0.003
0.42500	0.009
0.42667	0.006
0.42833	-0.007
0.43000	-0.009
0.43167	0.002
0.43333	0.000
0.43500	-0.009
0.43667	-0.012
0.43833	0.001
0.44000	0.001
0.44167	-0.009
0.44333	-0.008
0.44500	0.005
0.44667	0.005
0.44833	-0.006
0.45000	-0.007
0.45167	0.007
0.45333	0.009
0.45500	-0.001
0.45667	-0.002
0.45833	0.012
0.46000	0.011
0.46167	-0.001
0.46333	-0.007
0.46500	0.006
0.46667	0.006
0.46833	-0.006
0.47000	-0.011
0.47167	0.003
0.47333	0.009
0.47500	-0.001
0.47667	-0.008
0.47833	0.005
0.48000	0.008
0.48167	-0.001
0.48333	-0.008
0.48500	0.005
0.48667	0.007
0.48833	-0.006
0.49000	-0.014
0.49167	0.001
0.49333	0.008
0.49500	-0.001
0.49667	-0.009
0.49833	0.006
0.50000	0.008
0.50167	-0.001
0.50333	-0.008
0.50500	0.012
0.50667	0.019
0.50833	0.007
0.51000	-0.001
0.51167	0.013
0.51333	0.016
0.51500	0.006
0.51667	-0.005
0.51833	0.009
0.52000	0.013
0.52167	0.003
0.52333	-0.009
0.52500	0.003
0.52667	0.007
0.52833	-0.002
0.53000	-0.013
0.53167	0.001
0.53333	0.007
0.53500	-0.001
0.53667	-0.009
0.53833	0.004
0.54000	0.010
0.54167	0.000
0.54333	-0.010
0.54500	0.005
0.54667	0.010
0.54833	0.003
0.55000	-0.010
0.55167	0.002
0.55333	0.011
0.55500	0.005
0.55667	-0.011
0.55833	-0.003
0.56000	0.006
0.56167	-0.001
0.56333	-0.014
0.56500	-0.004
0.56667	0.003
0.56833	-0.002
0.57000	-0.014
0.57167	-0.005
0.57333	0.003
0.57500	-0.004
0.57667	-0.016
0.57833	-0.007
0.58000	0.005
0.58167	-0.001
0.58333	-0.012
0.58500	-0.005
0.58667	0.005
0.58833	0.000
0.59000	-0.009
0.59167	-0.004
0.59333	0.008
0.59500	0.006
0.59667	-0.005
0.59833	0.000
0.60000	0.011
0.60167	0.008
0.60333	-0.002
0.60500	0.003
0.60667	0.015
0.60833	0.015
0.61000	0.005
0.61167	0.008
0.61333	0.019
0.61500	0.013
0.61667	-0.001
0.61833	0.002
0.62000	0.013
0.62167	0.013
0.62333	0.000
0.62500	0.005
0.62667	0.019
0.62833	0.017
0.63000	0.005
0.63167	0.007
0.63333	0.018
0.63500	0.020
0.63667	0.008
0.63833	0.009
0.64000	0.021
0.64167	0.018
0.64333	0.001
0.64500	-0.001
0.64667	0.012
0.64833	0.012
0.65000	-0.002
0.65167	-0.004
0.65333	0.010
0.65500	0.009
0.65667	-0.001
0.65833	-0.004
0.66000	0.010
0.66167	0.011
0.66333	-0.004
0.66500	-0.008
0.66667	0.009
0.66833	0.009
0.67000	-0.004
0.67167	-0.007
0.67333	0.005
0.67500	0.009
0.67667	0.000
0.67833	-0.003
0.68000	0.012
0.68167	0.014
0.68333	0.006
0.68500	-0.001
0.68667	0.013
0.68833	0.016
0.69000	0.002
0.69167	-0.005
0.69333	0.006
0.69500	0.003
0.69667	-0.005
0.69833	-0.009
0.70000	0.006
0.70167	0.011
0.70333	-0.001
0.70500	-0.004
0.70667	0.008
0.70833	0.011
0.71000	0.001
0.71167	-0.008
0.71333	0.007
0.71500	0.012
0.71667	0.001
0.71833	-0.006
0.72000	0.006
0.72167	0.011
0.72333	0.002
0.72500	-0.008
0.72667	0.004
0.72833	0.010
0.73000	0.000
0.73167	-0.011
0.73333	0.003
0.73500	0.008
0.73667	-0.003
0.73833	-0.012
0.74000	0.000
0.74167	0.006
0.74333	-0.001
0.74500	-0.010
0.74667	0.001
0.74833	0.010
0.75000	0.002
0.75167	-0.006
0.75333	0.003
0.75500	0.008
0.75667	0.004
0.75833	-0.005
0.76000	0.006
0.76167	0.015
0.76333	0.010
0.76500	0.000
0.76667	0.008
0.76833	0.015
0.77000	0.011
0.77167	-0.001
0.77333	0.008
0.77500	0.018
0.77667	0.012
0.77833	0.000
0.78000	0.010
0.78167	0.019
0.78333	0.013
0.78500	0.004
0.78667	0.014
0.78833	0.022
0.79000	0.014
0.79167	0.001
0.79333	0.010
0.79500	0.020
0.79667	0.021
0.79833	0.007
0.80000	0.013
0.80167	0.022
0.80333	0.017
0.80500	0.003
0.80667	0.010
0.80833	0.020
0.81000	0.016
0.81167	0.005
0.81333	0.010
0.81500	0.020
0.81667	0.015
0.81833	0.000
0.82000	0.004
0.82167	0.013
0.82333	0.012
0.82500	0.000
0.82667	0.006
0.82833	0.014
0.83000	0.007
0.83167	-0.005
0.83333	0.001
0.83500	0.011
0.83667	0.009
0.83833	-0.004
0.84000	0.004
0.84167	0.018
0.84333	0.015
0.84500	0.001
0.84667	0.006
0.84833	0.017
0.85000	0.016
0.85167	0.001
0.85333	0.004
0.85500	0.014
0.85667	0.013
0.85833	-0.001
0.86000	0.000
0.86167	0.011
0.86333	0.007
0.86500	-0.007
0.86667	-0.006
0.86833	0.005
0.87000	0.005
0.87167	-0.006
0.87333	-0.002
0.87500	0.010
0.87667	0.012
0.87833	0.000
0.88000	-0.002
0.88167	0.008
0.88333	0.006
0.88500	-0.008
0.88667	-0.010
0.88833	0.006
0.89000	0.008
0.89167	-0.003
0.89333	-0.005
0.89500	0.007
0.89667	0.012
0.89833	0.000
0.90000	-0.005
0.90167	0.004
0.90333	0.003
0.90500	-0.009
0.90667	-0.012
0.90833	0.002
0.91000	0.011
0.91167	0.001
0.91333	-0.005
0.91500	0.011
0.91667	0.015
